id;created_at;start_time;created_by_id;terrain_id
1;2020-11-18T03:53:38;2020-11-18T13:45:23;3;1
2;2020-11-17T23:26:54;2020-11-18T09:36:08;3;1
3;2020-11-17T23:19:14;2020-11-18T09:10:06;3;1
4;2020-11-18T03:26:39;2020-11-17T18:20:38;3;1
5;2020-11-18T06:40:40;2020-11-18T01:16:56;3;2
6;2020-11-18T13:33:06;2020-11-18T11:26:40;3;2
7;2020-11-17T19:50:49;2020-11-18T06:11:27;3;2
8;2020-11-17T21:07:44;2020-11-18T10:19:14;3;2
9;2020-11-17T18:03:01;2020-11-18T10:34:41;3;2
10;2020-11-18T04:55:02;2020-11-18T06:38:10;4;2
